,Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sale_Price,Gross_Sales,Discounts,Sales,COGS,Profit,Date,Month_Number,Month_Name,Year,manufacturing_price,sale_price,gross_sales,sales,cogs,profit,discounts,sales_price
0,government,Canada, Carretera , None ,1618.5, $3.00 , $20.00 ," $32,370.00 ",," $32,370.00 "," $16,185.00 "," $16,185.00 ",01/01/2014,1, January ,2014,3.0,20.00 ,32370.0,32370.0,16185.0,16185.00 ,0.0,20.0
1,government,Germany, Carretera , None ,1321.0, $3.00 , $20.00 ," $26,420.00 ",," $26,420.00 "," $13,210.00 "," $13,210.00 ",01/01/2014,1, January ,2014,3.0,20.00 ,26420.0,26420.0,13210.0,13210.00 ,0.0,20.0
2,midmarket,France, Carretera , None ,2178.0, $3.00 , $15.00 ," $32,670.00 ",," $32,670.00 "," $21,780.00 "," $10,890.00 ",01/06/2014,6, June ,2014,3.0,15.00 ,32670.0,32670.0,21780.0,10890.00 ,0.0,15.0
3,midmarket,Germany, Carretera , None ,888.0, $3.00 , $15.00 ," $13,320.00 ",," $13,320.00 "," $8,880.00 "," $4,440.00 ",01/06/2014,6, June ,2014,3.0,15.00 ,13320.0,13320.0,8880.0,4440.00 ,0.0,15.0
4,midmarket,Mexico, Carretera , None ,2470.0, $3.00 , $15.00 ," $37,050.00 ",," $37,050.00 "," $24,700.00 "," $12,350.00 ",01/06/2014,6, June ,2014,3.0,15.00 ,37050.0,37050.0,24700.0,12350.00 ,0.0,15.0
5,government,Germany, Carretera , None ,1513.0, $3.00 , $350.00 ," $529,550.00 ",," $529,550.00 "," $393,380.00 "," $136,170.00 ",01/12/2014,12, December ,2014,3.0,350.00 ,529550.0,529550.0,393380.0,136170.00 ,0.0,350.0
6,midmarket,Germany, Montana , None ,921.0, $5.00 , $15.00 ," $13,815.00 ",," $13,815.00 "," $9,210.00 "," $4,605.00 ",01/03/2014,3, March ,2014,5.0,15.00 ,13815.0,13815.0,9210.0,4605.00 ,0.0,15.0
7,channel partners,Canada, Montana , None ,2518.0, $5.00 , $12.00 ," $30,216.00 ",," $30,216.00 "," $7,554.00 "," $22,662.00 ",01/06/2014,6, June ,2014,5.0,12.00 ,30216.0,30216.0,7554.0,22662.00 ,0.0,12.0
8,government,France, Montana , None ,1899.0, $5.00 , $20.00 ," $37,980.00 ",," $37,980.00 "," $18,990.00 "," $18,990.00 ",01/06/2014,6, June ,2014,5.0,20.00 ,37980.0,37980.0,18990.0,18990.00 ,0.0,20.0
9,channel partners,Germany, Montana , None ,1545.0, $5.00 , $12.00 ," $18,540.00 ",," $18,540.00 "," $4,635.00 "," $13,905.00 ",01/06/2014,6, June ,2014,5.0,12.00 ,18540.0,18540.0,4635.0,13905.00 ,0.0,12.0
